id,channel_id,title,description,publishedAt,view_count,like_count,dislike_count,comment_count
bchhhDqLdaU,UCt_4wzTQqmcUvemNkeO0plA,ASSISTI A QUEDA DA CASA DE USHER – VALE A PENA?,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-22T23:30:12Z,19473,4115,0,154
NijSf07o7Eo,UCt_4wzTQqmcUvemNkeO0plA,BUTCHER VAI USAR O VÍRUS CONTRA O HOMELANDER?,"TheBoys #GenV #homelander Saiba como criar seu negócio online em 3 dias, acesse: https://bit.ly/45Jpnev E se o Butcher ...",2023-10-22T20:30:02Z,49341,8721,0,891
3kCrj7vaEQw,UCt_4wzTQqmcUvemNkeO0plA,"COMEÇOU! SUPERMAN Vs GODZILLA, NOVA SAGA [Superman parte PRA CIMA]","Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-22T14:50:51Z,39080,8576,0,704
eIZrH4KgEAM,UCt_4wzTQqmcUvemNkeO0plA,MELHORES ESTREIAS DA SEMANA NOS STREAMINGS: [De 22 á 28 de Outubro],"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-21T23:37:34Z,113331,17914,0,646
FpIHWeugrOw,UCt_4wzTQqmcUvemNkeO0plA,SHETTY QUER A EXTINÇÃO DOS SUPERS? O SOLDIERBOY FOI BAIT? ANÁLISE Gen V Ep. 06x01,"Saiba como criar seu negócio online em 3 dias, acesse: https://bit.ly/3McFMRs Pessoal, primeiramente, obrigado por chegarmos ...",2023-10-21T14:42:02Z,112812,15444,0,991
TXj5Fyn7uT0,UCt_4wzTQqmcUvemNkeO0plA,SAITAMA ESCULACHOU O FLASH PRA SURPRESA DE NINGUÉM - Análise OPM Cap. 194,"Saiba como criar seu negócio online em 3 dias, acesse: https://rb.gy/blp4p Pessoal, primeiramente, obrigado por chegarmos até ...",2023-10-20T23:30:05Z,189651,34367,0,626
iaP1onthDsg,UCt_4wzTQqmcUvemNkeO0plA,VICTOR TIMELY APARECEU! COMEÇA O NOVO INÍCIO DO FIM - Análise Loki Ep. 03x02,"Bônus de Boas-vindas de até R$5.000,00 com o código: Einerd Você deve ter mais de 18 anos! Se você tem menos, não jogue!",2023-10-20T21:26:12Z,197651,25694,0,1215
aKKKF5X9rFM,UCt_4wzTQqmcUvemNkeO0plA,UNIVERSO DC: QUEM ESTÁ CONFIRMADO NOS NOVOS FILMES ATÉ AGORA?,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-19T23:30:01Z,205772,24182,0,496
gLHBfU9rYco,UCt_4wzTQqmcUvemNkeO0plA,IMPORTANTE! ESSAS CENAS DELETADAS MUDARIAM TUDO NO UCM,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-19T21:41:19Z,118194,17516,0,664
uhN0N6qfCWg,UCt_4wzTQqmcUvemNkeO0plA,5 VEZES QUE DRAGON BALL PASSOU DE TODOS OS LIMITES,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-19T15:00:12Z,61303,10990,0,962
2uD-cqfI9dI,UCt_4wzTQqmcUvemNkeO0plA,VAZOU TUDO! BORUTO NÍVEL DRAGON BALL? #Spoilers Boruto TBV Capítulo 3,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-18T23:30:01Z,277761,45145,0,1977
ME-5571KyeQ,UCt_4wzTQqmcUvemNkeO0plA,É CANÔNICO! STAR WARS FINALMENTE REVELA QUEM É O PAI DE DARTH VADER,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-18T20:55:46Z,122475,16076,0,697
py7BfqIFkdc,UCt_4wzTQqmcUvemNkeO0plA,TODOS OS PODERES DE GEN V EXPLICADOS [O Penúltimo é o mais poderoso],"Saiba como criar seu negócio online em 3 dias, acesse: https://bit.ly/3Q0CmT2 Pessoal, primeiramente, obrigado por chegarmos ...",2023-10-18T14:30:27Z,123627,17582,0,309
uhOB55TbvH4,UCt_4wzTQqmcUvemNkeO0plA,O QUE ACONTECEU COM O SASUKE EM BORUTO? VIROU ÁRVORE?,"Boruto #Sasuke #Naruto Saiba como criar seu negócio online em 3 dias, acesse: https://rb.gy/o45xv Enquanto o Boruto ...",2023-10-18T00:00:22Z,189266,26256,0,640
Qqs0B7ffX5w,UCt_4wzTQqmcUvemNkeO0plA,UCM VAI MUDAR TUDO NAS SÉRIES E SOBROU PRO DEMOLIDOR,"Ucm #Marvel #Herois Os roteiristas entraram em greve, a Marvel colocou a mão na consciência e agora chegou a hora da ...",2023-10-17T21:34:01Z,145361,20977,0,569
OrtW5cHTx0E,UCt_4wzTQqmcUvemNkeO0plA,LOKI É O NOVO TONY STARK! ELE VAI RECRUTAR TODOS OS HERÓIS CONTRA O KANG,"Loki #Vingadores #Marvel Todos os vingadores originais foram de arrasta pra cima, e o Hulk continua sendo humilhado. Quem é ...",2023-10-16T21:45:47Z,322700,36867,0,1352
GTXcIvIIhaY,UCt_4wzTQqmcUvemNkeO0plA,AS MAIORES BATALHAS DE FICÇÃO CIENTÍFICA DOS ULTIMOS TEMPOS,Filmes #CenasEpicas #filmesdeguerra É praticamente impossível pensar em uma história de ficção científica onde não esteja ...,2023-10-16T14:30:05Z,70107,10561,0,335
JDVL5RhUwDk,UCt_4wzTQqmcUvemNkeO0plA,NARUTO NÃO DEVERIA SER HOKAGE E EU POSSO PROVAR!,"Naruto #Hokage #Animes Desde o primeiro episódio de Naruto a gente sabe que o sonho dele é se tornar o Hokage em Konoha, ...",2023-10-15T23:30:06Z,123264,18039,0,905
Wnw8ooCpt2E,UCt_4wzTQqmcUvemNkeO0plA,VEJA COMO TERMINOU A ÚLTIMA TEMPORADA DE THE WALKING DEAD,Se liga no canal do João @AGenteFazAgora : https://www.youtube.com/@AGenteFazAgora Veja como continua The Walking ...,2023-10-15T21:16:47Z,205324,25240,0,710
ZKgu5YMxRMs,UCt_4wzTQqmcUvemNkeO0plA,HOMELANDER NÃO FOI CRIADO COM O COMPOSTO V EM THE BOYS #Teorias,Theboys #Homelander #CompostoV Homelader é osso duro de roer. A gente já teve aí três temporadas de The Boys com o cara ...,2023-10-15T14:30:19Z,140792,18300,0,391
9bVgmNDzQvQ,UCt_4wzTQqmcUvemNkeO0plA,MELHORES ESTREIAS DA SEMANA NOS STREAMINGS: [De 15 á 21 de Outubro],Netflix #HboMax #PrimeVideo Vamo começar um novo hábito aqui no canal! Bora fica em dia com tudo de mais legal que estreia ...,2023-10-15T00:20:46Z,106160,19938,0,1095
yS-iMqgc0n4,UCt_4wzTQqmcUvemNkeO0plA,LOKI SERIA O MAIS PODEROSO DO UMC [Poderes que ele NUNCA usou],"Loki #Loki2 #Marvel Loki é uma das figuras mais poderosas do UCM, mas mesmo tendo quase dominado a Terra, a gente nunca ...",2023-10-14T14:30:30Z,113880,16838,0,349
GemAK3Hfun4,UCt_4wzTQqmcUvemNkeO0plA,O MULTIVERSO FOI BOMBARDEADO! LOKI ESTÁ NO COMANDO - Análise EP. 02x02 Loki,"Na maior escola de habilidades do Brasil, seu mequetrefe pode fazer aulas em 3 áreas, educação financeira, tecnologias, ...",2023-10-14T00:00:11Z,286397,35245,0,698
OIRXlFs9Nyg,UCt_4wzTQqmcUvemNkeO0plA,GEN V: O VÍRUS CAPAZ DE MATAR TODOS OS SUPERS DO MUNDO! Análise Ep. 05x01,"Genv #Primevideo #theboys Saiba como criar seu negócio online em 3 dias, acesse: https://rebrand.ly/v2127uz Um vírus capaz ...",2023-10-13T21:30:37Z,138679,17669,0,575
vm_C44vNOCo,UCt_4wzTQqmcUvemNkeO0plA,TITANIC: JACK ERA UM VIAJANTE DO TEMPO? ENTENDA,Titanic #Jack #Filmes Vocês já repararam como era diferente o Titanic em relação aos dias de hoje? Para e pensa: um navio de ...,2023-10-13T14:30:31Z,209540,28122,0,975
Nvi5c6hv2OU,UCt_4wzTQqmcUvemNkeO0plA,DRAGON BALL DAIMA: SAIU TRAILER E CONFIRMAÇÃO DO NOVO ANIME,"Saiba como criar seu negócio online em 3 dias, acesse: https://rebrand.ly/pqi0inm #DragonBall #DragonBallDaima #DBZ Saiu o ...",2023-10-12T23:30:02Z,562002,55939,0,2503
tCh35ntUkO4,UCt_4wzTQqmcUvemNkeO0plA,"ASSISTI O EXORCISTA: O DEVOTO, ESSE FILME É UMA HORRÍVEL!",Exorcista #Filmes #Terror Os fãs de filme de terror tavam contando os dias pra essa estreia. E não importa se eu tenho medo ou ...,2023-10-12T21:05:51Z,270029,28307,0,1450
LX9x0eJlt-A,UCt_4wzTQqmcUvemNkeO0plA,GEN V VS HOMELANDER! SERÁ QUE ELES DÃO CONTA? Quem Venceria?,"Bônus de Boas-vindas de até R$5.000,00 com o código: Einerd Você deve ter mais de 18 anos! Se você tem menos, não jogue!",2023-10-12T15:58:29Z,162431,20287,0,770
S81jY3-I0oc,UCt_4wzTQqmcUvemNkeO0plA,"BOMBA! X-MEN EM LOKI, ENTENDA!",Loki #Marvel #XMen O primeiro episódio da segunda temporada de Loki escondeu algumas referências e informações que ...,2023-10-11T14:30:15Z,230877,26422,0,476
3Q_LpV37OUU,UCt_4wzTQqmcUvemNkeO0plA,"TWISTED METAL: FINALMENTE ASSISTI O PRIMEIRO EPISÓDIO DA SÉRIE, O QUE ACHEI [Sem Spoilers]",TwistedMetal #Série #Hbo A série de Twisted Metal finalmente chegou no Brasil. E eu já vi o primeiro episódio. Bora falar do que ...,2023-10-10T22:16:59Z,204632,22049,0,782
vXFHWeYYfLk,UCt_4wzTQqmcUvemNkeO0plA,NÃO É MENTIRA! ANIME DE NANATSU NO TAIZAI VOLTOU COM TUDO! Assisti Mokushiroku no Yonkishi,NanatsunoTaizai #Meliodas #animes O passo a passo completo para você criar um canal de sucesso no YouTube sem ...,2023-10-10T15:08:18Z,246926,36443,0,1927
8m3Pj2IhRv0,UCt_4wzTQqmcUvemNkeO0plA,ASSISTI O PROTETOR 3: CAPÍTULO FINAL – O QUE EU ACHEI [Sem Spoilers],"Baixe o app da INCO pelo link abaixo: https://baixe.inco.vc/nerdsdenegocios Na INCO a partir de R$500,00 você já consegue ...",2023-10-09T23:30:02Z,314874,23743,0,909
arKP-BMHxp0,UCt_4wzTQqmcUvemNkeO0plA,TOBEY MAGUIRE: O RUMOR MAIS INSANO SOBRE O PRÓXIMO VINGADORES,"Acabou a greve dos roteiristas em Hollywood. Chegou a hora de trabalhar! Chegou a hora de correr atrás do prejuízo, a galera ...",2023-10-09T14:46:55Z,255079,35231,0,1137
a2fptFA8kgU,UCt_4wzTQqmcUvemNkeO0plA,GEN V SUBIU O NÍVEL! O BATMAN TARADÃO ENTREGOU TUDO? - ANÁLISE COMPLETA Ep. 04x01,"GenV #Theboys #Heróis O Mais Novo Portal de Treinamentos do Peter Jordan, para quem quer lucrar na internet de forma ...",2023-10-08T15:14:26Z,173785,20728,0,753
CKKqerSoQQ4,UCt_4wzTQqmcUvemNkeO0plA,PRA ONDE A SYLVIE FOI? ENTENDA O PÓS-CRÉDITO DE LOKI EP. 1 SEGUNDA TEMPORADA,"Loki #TVA #Sylvie O primeiro episódio de Loki já ta fazendo a cabeça da galera fervilhar de teorias, e realmente, tem muita coisa ...",2023-10-07T23:36:22Z,180942,22651,0,383
PPj6VsCWi_4,UCt_4wzTQqmcUvemNkeO0plA,POR ONDE ANDA O ELENCO DE TODO MUNDO ODEIA O CHRIS,Séries #todomundoodeiaochris #chrisrock Tenha acesso ao Tube Club: A maior comunidade de crescimento para YouTubers ...,2023-10-07T20:30:02Z,108729,19316,0,611
9v8bhCj2tCg,UCt_4wzTQqmcUvemNkeO0plA,LOKI VOLTOU MELHOR DO QUE ANTES! ENTENDA O PRIMEIRO EPISÓDIO - Análise Loki 01x02,Bora Jogar Assassin´s Creed: ...,2023-10-07T00:30:03Z,383124,44495,0,963
2MWRiT6bItI,UCt_4wzTQqmcUvemNkeO0plA,"CHAMOU PRO PAU, FLASH VS SAITAMA - Análise Cap. 193 One Punch Man","Saitama #OnePunchMan #Animes Galera, pelo visto o Saitama chegou pra mostrar que o S da classe S é de “saco de pancada”, ...",2023-10-06T21:52:21Z,330342,47242,0,765
iPv6wlWj3CM,UCt_4wzTQqmcUvemNkeO0plA,SEGUNDA TEMPORADA DE LOKI CHEGOU! ESTÃO ANIMADOS? #Loki #Disneyplus,"Loki, da Marvel Studios, está de volta, no Disney+. A partir de hoje, dia 5 de outubro, às 22:00: ...",2023-10-06T01:00:17Z,44919,4710,0,39
pV30TnSQ67A,UCt_4wzTQqmcUvemNkeO0plA,DA MESMO PRA TER ESQUELETO DE ADAMANTIUM IGUAL DO WOLVERINE?,Apoie nosso canal: ✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados ✓Você ...,2023-10-05T20:30:34Z,327991,43734,0,155
